"No.","Time","Source","Destination","Protocol","Length","Info"
"56","0.002354764","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x0b97, seq=1/256, ttl=64"
"57","0.003534836","00:00:00_00:00:01","Broadcast","ARP","42","Who has 10.0.0.2? Tell 10.0.0.1"
"58","0.003545054","00:00:00_00:00:02","00:00:00_00:00:01","ARP","42","10.0.0.2 is at 00:00:00:00:00:02"
"59","0.003565092","00:00:00_00:00:01","Broadcast","ARP","42","Who has 10.0.0.2? Tell 10.0.0.1"
"60","0.003571895","00:00:00_00:00:02","00:00:00_00:00:01","ARP","42","10.0.0.2 is at 00:00:00:00:00:02"
"61","0.003590325","00:00:00_00:00:02","00:00:00_00:00:01","ARP","42","10.0.0.2 is at 00:00:00:00:00:02"
"62","0.003602719","00:00:00_00:00:02","00:00:00_00:00:01","ARP","42","10.0.0.2 is at 00:00:00:00:00:02"
"63","0.003628136","00:00:00_00:00:02","00:00:00_00:00:01","ARP","42","10.0.0.2 is at 00:00:00:00:00:02"
"64","0.003639642","00:00:00_00:00:02","00:00:00_00:00:01","ARP","42","10.0.0.2 is at 00:00:00:00:00:02"
"65","0.003666540","00:00:00_00:00:02","00:00:00_00:00:01","ARP","42","10.0.0.2 is at 00:00:00:00:00:02"
"66","0.003678915","00:00:00_00:00:02","00:00:00_00:00:01","ARP","42","10.0.0.2 is at 00:00:00:00:00:02"
"67","0.003691712","00:00:00_00:00:02","00:00:00_00:00:01","ARP","42","10.0.0.2 is at 00:00:00:00:00:02"
"68","0.003702461","00:00:00_00:00:02","00:00:00_00:00:01","ARP","42","10.0.0.2 is at 00:00:00:00:00:02"
"69","0.003715066","00:00:00_00:00:02","00:00:00_00:00:01","ARP","42","10.0.0.2 is at 00:00:00:00:00:02"
"70","0.003725624","00:00:00_00:00:02","00:00:00_00:00:01","ARP","42","10.0.0.2 is at 00:00:00:00:00:02"
"71","0.003737076","00:00:00_00:00:02","00:00:00_00:00:01","ARP","42","10.0.0.2 is at 00:00:00:00:00:02"
"72","0.003746836","00:00:00_00:00:02","00:00:00_00:00:01","ARP","42","10.0.0.2 is at 00:00:00:00:00:02"
"73","0.003758779","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x0b97, seq=1/256, ttl=64 (reply in 74)"
"74","0.003779213","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x0b97, seq=1/256, ttl=64 (request in 73)"
"75","0.003797146","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x0b97, seq=1/256, ttl=64 (reply in 76)"
"76","0.003806448","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x0b97, seq=1/256, ttl=64 (request in 75)"
"77","0.003822367","00:00:00_00:00:02","00:00:00_00:00:01","ARP","42","10.0.0.2 is at 00:00:00:00:00:02"
"78","0.003831982","00:00:00_00:00:02","00:00:00_00:00:01","ARP","42","10.0.0.2 is at 00:00:00:00:00:02"
"79","0.003853949","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x0b97, seq=1/256, ttl=64"
"80","0.003864960","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x0b97, seq=1/256, ttl=64"
"81","0.003886583","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x0b97, seq=1/256, ttl=64"
"82","0.003895829","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x0b97, seq=1/256, ttl=64"
"83","0.003908521","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x0b97, seq=1/256, ttl=64"
"84","0.003922993","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x0b97, seq=1/256, ttl=64"
"85","0.003934952","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x0b97, seq=1/256, ttl=64"
"86","0.003944122","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x0b97, seq=1/256, ttl=64"
"87","0.003955311","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x0b97, seq=1/256, ttl=64"
"88","0.003965152","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x0b97, seq=1/256, ttl=64"
"89","0.003976540","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x0b97, seq=1/256, ttl=64"
"90","0.003985412","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x0b97, seq=1/256, ttl=64"
"91","0.004927320","00:00:00_00:00:01","Broadcast","ARP","42","Who has 10.0.0.2? Tell 10.0.0.1"
"92","0.004937418","00:00:00_00:00:02","00:00:00_00:00:01","ARP","42","10.0.0.2 is at 00:00:00:00:00:02"
"93","0.004955702","00:00:00_00:00:01","Broadcast","ARP","42","Who has 10.0.0.2? Tell 10.0.0.1"
"94","0.004960178","00:00:00_00:00:02","00:00:00_00:00:01","ARP","42","10.0.0.2 is at 00:00:00:00:00:02"
"95","0.004974875","00:00:00_00:00:02","00:00:00_00:00:01","ARP","42","10.0.0.2 is at 00:00:00:00:00:02"
"96","0.004985414","00:00:00_00:00:02","00:00:00_00:00:01","ARP","42","10.0.0.2 is at 00:00:00:00:00:02"
